titulo_servico,nome_orgao,categoria,status_do_servico,analise_relevancia
CADRio Agendamento,Secretaria Municipal de Assistência Social,Cidadania,Publicado,Não fica - validado
IPTU 2026,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Alvará - Consulta Prévia de Local,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
IPTU - Certidão de Situação Fiscal e Enfitêutica,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Informações sobre Inscrição e atualização do Cadastro Único,,Cidadania,Publicado,Fica - Validado
Informações sobre o Cadastro Único,Secretaria Municipal de Assistência Social,Família,Em Edição,Não fica - validado
Licença Sanitária de Funcionamento,"Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária",Licenças,Publicado,Fica - Validado
ITBI - Simulação de valor e pedido de guia,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Fiscalização de estacionamento irregular de veículo,Guarda Municipal do Rio de Janeiro,Ordem Pública,Publicado,Fica - Validado
IPTU 2025 e anteriores - cobrança na Fazenda,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
ISS - Comprovante de Inscrição e de Situação Cadastral,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
ISS - Certidão de Situação Fiscal,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Multa de trânsito - Consulta de multa,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Consulta de contracheques,Secretaria Municipal de Administração,Servidor,Publicado,Fica - Validado
IPTU - Certidão de Elementos Cadastrais,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Remoção de entulho,Companhia Municipal de Limpeza Urbana,Cidade,Publicado,Fica - Validado
ITBI - Impressão de guia para pagamento,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Emissão de certidão de Dívida Ativa,Procuradoria Geral do Município do Rio de Janeiro,Tributos,Publicado,Fica - Validado
ITBI - Emissão da certidão de pagamento,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Multa de Trânsito - Defesa Prévia de Autuação,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
Reparo de luminária,Companhia Municipal de Energia e Iluminação,Cidade,Publicado,Fica - Validado
Multa de Trânsito - Informações sobre como pagar,Secretaria Municipal de Transportes,Transporte,Publicado,Fica - Validado
ISS - Emissão de DARM para pagamento,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
IPTU – Parcelamento 2025 – Solicitação e emissão de boletos,Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Consultar Declaração de Escolaridade  ,Secretaria Municipal de Educação,Educação,Publicado,Fica - Validado
IPTU - Notificação de Lançamento (inclusive guias extraordinárias),Secretaria Municipal de Fazenda,Tributos,Publicado,Fica - Validado
Solicitação de orientações sobre o alvará pela internet,Coordenadoria de Licenciamento e Fiscalização,Licenças,Publicado,Fica - Validado
