titulo_servico,descricao_completa
IPTU 2026,"## **O que é:**

Este serviço permite a **emissão da guia de pagamento** do Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU) e/ou da Taxa de Coleta Domiciliar de Lixo (TCL) para o ano de 2026.

Em alguns casos específicos, pode não haver guia de cobrança disponível, sendo necessário acessar o demonstrativo de lançamento através do serviço “[IPTU - Notificação de Lançamento](https://pref.rio/servicos/categoria/tributos/iptu-notificacao-de-lancamento-inclusive-guias-1de88e0b)”.


## Informações importantes:

Estão isentos do IPTU:

- Imóveis residenciais com valor venal não superior a R$ 85.260,00;
- Imóveis não residenciais até R$ 37.207,00;
- Imóveis não edificados até R$ 57.358,00;
- A TCL também isenta imóveis residenciais com valor venal inferior a R$ 85.260,00;
- Imóveis cuja soma de IPTU e TCL não exceda 30 UFIR (R$ 149,00) também são isentos.

Pagamentos efetuados fora do prazo de vencimento ficam sujeitos a acréscimos moratórios e a atualização monetária incide quando o débito é pago no exercício seguinte ao de cobrança, corrigida pelo IPCA-E.


## **Para que serve:**

Este serviço serve para que os contribuintes possam **gerar e pagar o IPTU e a TCL referentes ao ano de 2026**.


## **Quem pode solicitar:**

Qualquer cidadão ou proprietário de imóvel no município do Rio de Janeiro que seja contribuinte do IPTU e/ou da TCL."
Alvará - Consulta Prévia de Local,"## **O que é:**

A Consulta Prévia de Local é um serviço que permite verificar se uma atividade econômica específica pode ser exercida em um determinado endereço. Este processo considera as leis de zoneamento e uso do solo urbano do município.

O serviço é **gratuito** e essencial para quem planeja abrir ou mudar a localização de um negócio.


## **Para que serve:**

Este serviço serve para **garantir a conformidade** da atividade econômica com as regulamentações urbanísticas antes de iniciar o processo de licenciamento. Ele evita que empreendedores invistam em um local inadequado para sua operação.

É fundamental para o planejamento e a segurança jurídica ao **licenciar uma empresa** ou atividade autônoma.


## **Quem pode solicitar:**

Este serviço pode ser solicitado por **empresas** e **autônomos** que desejam iniciar uma nova atividade ou alterar o local de uma já existente no município.

É destinado a qualquer pessoa jurídica ou física que precise verificar a viabilidade de um endereço para fins comerciais."
IPTU - Certidão de Situação Fiscal e Enfitêutica,"## **O que é:**

Este serviço permite a **geração da Certidão de Situação Fiscal e Enfitêutica** de um imóvel. O documento exibe a existência, ou não, de débitos de IPTU relacionados à propriedade, concentrando todas as informações fiscais para comprovar sua regularidade.

A certidão é estruturada em quatro quadros principais:

- **Quadro I** detalha os débitos inscritos em dívida ativa, sob a responsabilidade da Procuradoria da Dívida Ativa (PDA).
- **Quadro II** informa sobre débitos ainda não inscritos em dívida ativa, referentes a guias de cobrança com prazo para pagamento na rede bancária, sob a Secretaria Municipal de Fazenda (SMF). Caso existam débitos sem prazo de pagamento na rede bancária, é necessário abrir um processo administrativo para quitação.
- **Quadro III** apresenta informações complementares sobre processos pendentes que podem resultar em futuras cobranças.
- **Quadro IV**, a Situação Enfitêutica, registra a condição de aforamento do imóvel em relação ao Município do Rio de Janeiro.


## **Para que serve:**

A certidão serve para **comprovar a regularidade fiscal e enfitêutica** de um imóvel perante o Município do Rio de Janeiro. Ela permite verificar de forma oficial a existência de débitos de IPTU e a condição de aforamento da propriedade.

É um documento essencial para diversas finalidades, como transações imobiliárias, obtenção de financiamentos, comprovações em processos legais ou administrativos, e para o acompanhamento da situação fiscal do imóvel.


## **Quem pode solicitar:**

O serviço pode ser solicitado por **qualquer cidadão ou entidade** que precise verificar a situação fiscal e enfitêutica de um imóvel localizado no Rio de Janeiro."
Informações sobre inscrição e atualização do Cadastro Único,"## O que é  
Este serviço oferece informações detalhadas sobre como se inscrever e manter atualizado o Cadastro Único (CadÚnico) no município do Rio de Janeiro. O CadÚnico é uma ferramenta essencial para identificar e caracterizar famílias brasileiras de baixa renda.

Ele considera famílias com renda mensal de até meio salário-mínimo por pessoa. Famílias com renda superior também podem ser cadastradas para acessar programas ou serviços específicos dos governos municipal, estadual ou federal.

O CADRio é a rede de Centrais de Atendimento do Cadastro Único na cidade, focada em garantir a qualidade do cadastro e a dignidade das famílias. O sistema CADRio Agendamento permite que as famílias marquem seus atendimentos com antecedência, escolhendo o melhor horário e reduzindo o tempo de espera.

## Para que serve  
O principal objetivo deste serviço é **identificar e caracterizar famílias de baixa renda** para que possam ser incluídas em diversos programas sociais. Ele serve como porta de entrada para benefícios importantes.

Entre os programas coordenados pelo Governo Federal que utilizam o Cadastro Único para seleção de beneficiários estão o **Programa Bolsa Família (PBF)**, o **Benefício de Prestação Continuada (BPC)** e a **Tarifa Social de Energia Elétrica (TSEE)**. Além desses, o CadÚnico é usado para muitos outros programas federais, estaduais e municipais.

## Quem pode solicitar  
Este serviço é destinado a **qualquer cidadão** que faça parte de uma família de baixa renda, ou seja, com renda mensal de até meio salário-mínimo por pessoa. Também podem solicitar famílias que buscam inclusão em programas sociais específicos.

A atualização dos dados cadastrais deve ser feita pelo **Responsável pela Unidade Familiar** em até 24 meses após a última entrevista, ou sempre que houver mudanças na composição familiar, endereço, renda, documentação ou escolaridade.

É importante notar que famílias compostas por apenas uma pessoa, para fins de concessão ou manutenção de benefícios, terão a entrevista para coleta de dados realizada em domicílio, tanto para novos cadastros quanto para atualizações."
Licença Sanitária de Funcionamento,"## **O que é:**

O Licenciamento Sanitário é um requisito essencial para o funcionamento de estabelecimentos que realizam qualquer atividade econômica comercial, industrial ou de prestação de serviços que tenham relação com a saúde individual ou coletiva da população.


Este serviço abrange diferentes tipos de licenças:

1. **Licença Sanitária de Funcionamento (LSF)** e a **Licença Sanitária de Atividades Relacionadas (LSAR)**, que devem ser revalidadas anualmente até 30 de abril do ano em exercício;
2. **Licença Sanitária de Atividades Transitórias (LSAT)**, para eventos e obras;
3. **Registro de Estabelecimento de Produção Agropecuária (REPA)**;
4. **Licenciamento de veículos de transporte**.


## LSF – Licença Sanitária de Funcionamento

Concedida a estabelecimentos regulados pela Vigilância Sanitária ou de interesse da Vigilância de Zoonoses.  
Abrange, entre outros:

- Comércio de alimentos e bebidas;
- Farmácias e distribuidoras;
- Hospitais e serviços de saúde;
- Serviços de embelezamento;
- Escolas, clubes, hotéis;
- Veterinárias e pet shops.


## LSAR – Licença Sanitária de Atividades Relacionadas

Obrigatória para pessoas jurídicas, considerando os riscos advindos dos ambientes e locais de uso coletivo que exerçam:

- Atividades industriais;
- Atividades comerciais;
- Prestação de serviços.


## LSAT – Licença Sanitária de Atividades Transitórias

Concedida por até 180 dias, obrigatória em eventos públicos ou privados.  
Aplica-se a:

- Serviços de alimentação, saúde e estética;
- Ambulantes, stands, barracas, veículos e atividades localizadas no entorno dos eventos;
- Obras e canteiros de trabalho com fornecimento de refeições e/ou serviço de saúde.

A LSAT deve estar fixada em local visível e disponível para as autoridades sanitárias.

Os manipuladores de alimentos devem possuir certificado do Curso de Noções Básicas e Boas Práticas de Manipulação de Alimentos do IVISA-RIO. A inscrição deve ser realizada através de links divulgados nas redes sociais do IVISA-RIO.


## REPA – Registro de Estabelecimento de Produção Agropecuária

Concedido por adesão voluntária, com revalidação até 30 de abril do ano em exercício.  
Abrange comércio municipal de produtos de origem animal ou vegetal, com exigência de certificação e registro dos produtos que comercializa.


## ASP – Autorização Sanitária Provisória

Concedida em caráter precário e improrrogável até 30 de abril do ano em exercício.  
Destinada a estabelecimentos com pendências de Alvará junto à SMF, como:

- Quiosques;
- *Food trucks, food bikes* e similares;
- Equipamentos fixados em áreas públicas;
- Minimercados/*delivery;*
- Empresas prestadoras de serviço de alimentação ou saúde em outros estabelecimentos (públicos ou privados);
- Atividades em residências usadas como apoio (produção, pré-preparo, armazenamento).

A ASP pode ser revogada a qualquer momento, não gerando direito adquirido.


## **Para que serve:**

O licenciamento sanitário serve para regularizar e autorizar o funcionamento de estabelecimentos e atividades que podem impactar a saúde pública. Ele assegura que os locais operem dentro dos padrões sanitários exigidos, minimizando riscos e protegendo a população de potenciais danos ou riscos advindos de ambientes coletivos.


## **Quem pode solicita**r:

Pode solicitar o licenciamento sanitário qualquer pessoa jurídica ou física responsável por estabelecimentos que realizam atividades econômicas comerciais, industriais ou de prestação de serviços com relação à saúde.


## Informações complementares:

Acesse **[aqui](https://vigilanciasanitaria.prefeitura.rio/wp-content/uploads/sites/84/2026/04/rio_de_janeiro_2026-01-05_44_45.pdf)** a tabela com valores da Taxa de Licenciamento Sanitário, das multas e dos preços públicos no âmbito do Instituto Municipal de Vigilância Sanitária, Vigilância de Zoonoses e de Inspeção Agropecuária, de acordo com a publicação no DOM de 05/01/2026, para o exercício 2026."
ITBI - Simulação de valor e pedido de guia,
Fiscalização de estacionamento irregular de veículo,"## **O que é:**

Este serviço consiste no envio da Guarda Municipal para fiscalizar estacionamentos irregulares de veículos e uso de cones e/ou obstruções irregulares na via para demarcar vagas. A fiscalização abrange situações em desacordo com o Código de Trânsito Brasileiro, incluindo estacionamento indevido de ônibus e excesso de ônibus em pontos terminais.


A atuação da Guarda Municipal também se estende a áreas de **shoppings** e **supermercados**, nos casos de fiscalização de estacionamento de vagas de idosos, gestantes, pessoas com deficiências.


Este serviço também se aplica à proibição de colocar **objetos **(cones, cavaletes, caixotes, etc) por terceiros e/ou particulares para obstruir a via. Segundo o Art. 246 do CTB, reservar vagas ou bloquear ruas caracteriza infração de trânsito gravíssima, com multa de R$ 195,23 (que pode ser multiplicada), acréscimo de 5 pontos na CNH e remoção imediata do objeto.


## **Para que serve:**

Garantir a fiscalização e coibição de estacionamentos irregulares, promovendo a organização do trânsito e o cumprimento das normas. A fiscalização pode resultar em **multa **do veículo, dependendo da avaliação da situação no local. Caso haja a necessidade de remoção do veículo, será acionada a Gerência de Controle Operacional para a Gerência de Fiscalização de Estacionamento e Reboque da Secretaria Municipal de Ordem Pública, conforme a viabilidade e disponibilidade do guincho.


## **Quem pode solicitar:**

Qualquer cidadão que identifique um estacionamento irregular de veículo no município do Rio de Janeiro pode solicitar este serviço."
IPTU 2025 e anteriores - cobrança na Fazenda,"## **O que é:**

Este serviço permite a **emissão de guias para pagamento e/ou depósito do IPTU e/ou TCL (Taxa de Coleta Domiciliar de Lixo)**. Ele é destinado a cobranças referentes ao exercício de 2025 ou anos anteriores que ainda não foram inscritas em Dívida Ativa.

O DARM (Documento de Arrecadação de Receitas Municipais) para pagamento é emitido com os valores atualizados. Pagamentos fora do prazo de vencimento estão sujeitos a acréscimos moratórios, já calculados no boleto.

A atualização monetária incide quando o débito é pago no exercício seguinte ao de cobrança, corrigida pelo FAT (Fator de Atualização), que corresponde ao IPCA-E do IBGE. Para guias de depósito, o código de receita é 312-3 e a guia se refere à Receita de depósito.

Para saber como é calculado o IPTU em atraso, clique **[aqui](https://carioca.rio/wp-content/uploads/2021/12/Calculo-do-IPTU-em-atraso-2023-6.pdf)**.


## **Para que serve:**

Este serviço serve para **regularizar débitos de IPTU e TCL** de anos anteriores que ainda não foram inscritos em Dívida Ativa. Ele permite que o contribuinte obtenha a guia de pagamento com os valores atualizados, incluindo juros e correção monetária.


## **Quem pode solicitar:**

Qualquer cidadão que possua débitos de IPTU e/ou TCL (Taxa de Coleta Domiciliar de Lixo) referentes ao exercício de 2025 ou anos anteriores, desde que essas cobranças não estejam inscritas em Dívida Ativa."
ISS - Comprovante de Inscrição e de Situação Cadastral,"## **O que é:**

Este serviço permite a emissão do Comprovante de Inscrição e de Situação Cadastral. Ele atesta a existência ou não de um contribuinte no Cadastro Mobiliário da Secretaria Municipal de Fazenda do Município do Rio de Janeiro.

Ao consultar ou imprimir o comprovante, todos os dados cadastrais do contribuinte são fornecidos, garantindo a transparência e a oficialidade das informações.


## **Para que serve:**

O comprovante serve para atestar e comprovar a situação cadastral de um contribuinte junto à Secretaria Municipal de Fazenda. Este documento é essencial para diversas finalidades que exigem a verificação da regularidade fiscal de pessoas ou empresas no município.


## **Quem pode solicitar:**

Qualquer contribuinte que necessite comprovar sua inscrição e situação cadastral no Cadastro Mobiliário da Secretaria Municipal de Fazenda do Rio de Janeiro."
ISS - Certidão de Situação Fiscal,"## **O que é:**

Este serviço permite a solicitação da certidão de situação fiscal de ISS (Imposto Sobre Serviços) para contribuintes do município.

As certidões solicitadas através deste serviço poderão ser:

- **Certidão negativa**: quando não houver auto de infração, nota de lançamento, parcelamento, débito confessado em pedido de parcelamento ou certidão de dívida ativa pendentes do pagamento integral.
- **Certidão de regularização** (positiva com efeitos de negativa): quando constar débito com exigibilidade suspensa em virtude de haver parcelamento em curso; auto de infração ou nota de lançamento em litígio administrativo; prazo legal para pagamento, impugnação ou recurso; concessão de medida liminar em mandado de segurança e outras formas de ação judicial; ou certidão de dívida ativa parcelada, suspensa, que possua cobrança garantida ou que esteja com a exigibilidade suspensa por qualquer outro motivo.
- **Certidão positiva**: quando houver parcelamento sem pagamento da primeira parcela ou suspenso, impugnação ou recurso intempestivo, recurso contra declaração de perempção, ou certidão de dívida ativa que não esteja liquidada, cancelada ou com exigibilidade suspensa.
- **Certidão de não contribuinte**: quando o requerente não constar no cadastro de contribuintes do município como prestador de serviço.

As certidões terão validade de até 90 dias, podendo ser inferior conforme o caso.


## **Para que serve:**

A certidão de situação fiscal de ISS serve para comprovar a regularidade ou a situação dos débitos de um contribuinte perante a Secretaria Municipal de Fazenda (SMF). Ela é essencial para diversas finalidades, como participação em licitações, obtenção de financiamentos ou comprovação de regularidade fiscal em geral.


## **Quem pode solicitar:**

Este serviço pode ser solicitado por qualquer contribuinte do município que possua uma inscrição municipal e necessite comprovar sua situação fiscal referente ao ISS. A certidão emitida é válida para todas as inscrições vinculadas ao CPF ou à raiz do CNPJ do solicitante."
